Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
Brookland Press,Brookland,Rental,"Delivered, Leasing Up",296  units,https://dc.urbanturf.com/pipeline/396/Brookland_Press,,,                                  Rental apartments                              </p>,296.0,"                  Studio, one- and two-bedroom apartments                </p>",                  601 - 969 square feet                </p>,"                  Pet-friendly with dog run and pet spa, bike slots and repair station, fitness center with yoga studio, outdoor pool, rooftop lounge with fire pit and grilling area                </p>","                  $1,974 - $2,343                </p>",http://www.brooklandpress.com,"Eric Colbert &amp; Associates, GTM Architects, ParkerRodriguez  ","                May 12th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  805 Channing Place NE,  Washington, DC,  20018,  ","Delivered, Leasing Up",                    October 2017                  </p>,38.9225502,-76.9944927
Solaire 1150 Ripley,Silver Spring,Rental,"Delivered, Leasing Up",286  units,https://dc.urbanturf.com/pipeline/65/Solaire_1150_Ripley,,,                                  Rental apartments                              </p>,286.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>","                  526 - 1,500 square feet                </p>","                  Pet-friendly, pool, lounge, rooftop terrace, media room                </p>","                  $1,955 - $2,670                </p>",https://www.solaire1150.com,Lessard Group  ,"                May 12th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1150 Ripley Street,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up","                    2012                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.992205,-77.0284825
Fenwick Station,Silver Spring,Rental,"Delivered, Leasing Up",310  units,https://dc.urbanturf.com/pipeline/205/Fenwick_Station,,,                                  Rental apartments                              </p>,310.0,"                  Studios, one-, two- and three-bedroom apartments                </p>","                  495 - 1,257 square feet                </p>","                  Clubroom with kitchen and billiards, business center, outdoor pool, fitness center, yoga room, guest suite, landscaped courtyards                </p>","                  $2,045 - $3,315                </p>",http://www.fenwickapts.com,Hord Coplan Macht  ,"                May 12th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  8616 2nd Avenue,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.9970274,-77.0345668
BLVD | Loudoun Station,Ashburn,Rental,"Delivered, Leasing Up",357  units,https://dc.urbanturf.com/pipeline/70/BLVD__Loudoun_Station,,,                                  Rental apartments                              </p>,357.0,                  One- and two-bedroom apartments                </p>,,"                  Courtyard pool with sundeck, 24-hour fitness center with yoga studio, pet-friendly, outdoor grilling area, clubroom with theater                </p>","                  From $1,599                </p>",https://blvdloudoun.com,Hickok Cole Architects  ,"                May 12th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  43805 Central Station Drive,  Ashburn, VA,  20147,  ","Delivered, Leasing Up",,,
Hampden East,Downtown Bethesda,Condo or Rental - TBD,Planned,150  units,https://dc.urbanturf.com/pipeline/1121/Hampden_East,,,                                  Condo or Rental - TBD                              </p>,150.0,                  TBD                </p>,,,,,Shalom Baranes Associates  ,"                May 5th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  4719 Hampden Lane,  Bethesda, MD,  20814,  ",Planned,,38.9829758,-77.0947642
Dowden’s Station,Clarksburg,Condo,Sold Out,84  units,https://dc.urbanturf.com/pipeline/997/Dowdens_Station,,,                                  Condos                              </p>,84.0,"                  Three-, four- and five-bedroom townhomes                </p>",,,                  From the low $600s                </p>,,,"                May 5th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  13276 Dowdens Ridge Drive,  Clarksburg, MD,  20871,  ",Sold Out,,,
The Beacon of Groveton,Groveton,Rental,"Delivered, Leasing Up",290  units,https://dc.urbanturf.com/pipeline/82/The_Beacon_of_Groveton,,,                                  Rental apartments                              </p>,290.0,"                  Studio, one- and two-bedroom apartments                </p>","                  540 - 1,071 square feet                </p>","                  Sundeck with saltwater pool, theater room, fitness center, pet-friendly with adjacent dog park,                </p>","                  $1,805 - $2,359                </p>",http://www.beaconofgroveton.com/,,"                May 5th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  6870 Richmond Highway,  Alexandria, VA,  22306,  ","Delivered, Leasing Up",,38.7926156,-77.056737
8001 Wisconsin Avenue,Woodmont Triangle,Rental,Planned,350  units,https://dc.urbanturf.com/pipeline/871/8001_Wisconsin_Avenue,,,                                  Rental apartments                              </p>,350.0,                  TBD                </p>,,,,,Torti Gallas + Partners  ,"                April 28th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  8001 Wisconsin Avenue,  Bethesda, MD,  20814,  ",Planned,,38.9908341,-77.0952268
2501M,West End,Condo,Sold Out,59  units,https://dc.urbanturf.com/pipeline/530/2501M,,,                                  Condos                              </p>,59.0,                  Two-bedroom units                </p>,"                  1,660 to 2,325 square feet                </p>","                  Fitness center with yoga studio, lobby, clubroom with bar                </p>",                  From $2MM                </p>,,CORE architecture + design  ,"                April 28th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  2501 M Street NW,  Washington, DC,  20037,  ",Sold Out,,38.905485,-77.0538188
455 Eye Street Apartments,Mount Vernon Triangle,Rental,"Delivered, Leasing Up",176  units,https://dc.urbanturf.com/pipeline/178/455_Eye_Street_Apartments,,,                                  Rental apartments                              </p>,176.0,"                  Studio, one- and two-bedroom apartments                </p>",,"                  Rooftop pool with barbecue area, courtyard with fire pit and lounge, pet friendly, electric car charging stations                </p>","                  $2,177 - $3,562+                </p>",http://www.equityapartments.com/washington-dc/mt-vernon-triangle/455-eye-street-apartments,Hickok Cole Architects  ,"                April 28th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  455 Eye Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up","                    June 2017                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",,
Citron Apartments,Downtown Silver Spring,Rental,"Delivered, Leasing Up",241  units,https://dc.urbanturf.com/pipeline/99/Citron_Apartments,,,                                  Rental apartments                              </p>,241.0,"                  Studio, one- and two-bedroom apartments                </p>","                  520 - 1,192 square feet                </p>","                  Resort-style pool with sundeck, pet-friendly, courtyard with fire pit, bike storage and on-site parking garage                </p>","                  $1,959 - $2,895                </p>",http://www.livecitron.com/,SK+I Architecture  ,"                April 28th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  815 Pershing Drive,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.997834,-77.0234734
Eleven55 Ripley,Silver Spring,Rental,"Delivered, Leasing Up",379  units,https://dc.urbanturf.com/pipeline/259/Eleven55_Ripley,,,                                  Rental apartments                              </p>,379.0,"                  Studio, one- and two-bedroom apartments                </p>","                  400 - 1,200 square feet                </p>","                  24-hour concierge, rooftop pool with panoramic views, sumptuous Sky Lounge, high-definition theater, and fitness center                </p>","                  $1,797 - $2,929                </p>",http://www.eleven55ripley.com/,Shalom Baranes Associates  ,"                April 28th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1155 Ripley Street,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.9925483,-77.0286823
Battery Lane District,Downtown Bethesda,Condos & Rental apartments,Planned,1530  units,https://dc.urbanturf.com/pipeline/865/Battery_Lane_District,,,                                  Condos &amp; Rental apartments                              </p>,1530.0,                  TBD                </p>,,,,https://www.batterylanedistrict.com,"DNC Architects, Cooper Carry and KGD Architecture  ","                April 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  4900 Battery Lane,  Bethesda, MD,  20814,  ",Planned,,38.9919976,-77.0991472
Robinson Landing,Old Town Alexandria,Townhomes & Condos,Sold Out,96  units,https://dc.urbanturf.com/pipeline/762/Robinson_Landing,,,                                  Townhomes &amp; condos                              </p>,96.0,"                  One-, two-, and three-bedroom condominiums; three-to-five bedroom townhomes                </p>","                  1,330 - 2,870 square feet                </p>","                  Concierge service, fitness center, bicycle shop, pet grooming spa, parking garage                </p>",                  $1.595M - $4.6M                </p>,http://robinsonlanding.eya.com/?utm_source=UrbanTurf&amp;utm_medium=Sponsored%20Content&amp;utm_campaign=RL%20UrbanTurf,EYA  ,"                April 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  Wolfe Street & S. Union Street,  Alexandria, VA,  22134,  ",Sold Out,,,
